site,mean_wind,lat,long
2304,8.436282775,17.192749,-67.3288
2305,8.421898951,17.219719,-67.3291
2306,8.408036954890454,17.246689,-67.32944
2307,8.393804785605386,17.273682,-67.32977
2308,8.378701290536544,17.300644,-67.33011
2309,8.361987785738988,17.327621,-67.330444
2310,8.345491067,17.354614,-67.33078
2311,8.327117925207514,17.381584,-67.331116
2312,8.309321030635793,17.408531,-67.33145
2313,8.289134921837938,17.435532,-67.33179
2314,8.268640959512267,17.462494,-67.33209
2315,8.245485458162275,17.489487,-67.33246
2316,8.221939552,17.516449,-67.33276
2317,8.196648286,17.543427,-67.3331
2318,8.168627313463231,17.570412,-67.333435
2319,8.138145549686644,17.597382,-67.33377
2320,8.101157300399809,17.624336,-67.33411
2321,8.062073006480698,17.651329,-67.33444
2322,8.010801633366155,17.678276,-67.33478
2323,7.957982801895383,17.705261,-67.33511
2324,7.889168872,17.732231,-67.33545
2325,7.819419238993548,17.759201,-67.335785
2326,7.730981600523144,17.786163,-67.33612
2327,7.639016601947499,17.81314,-67.336426
2328,7.534255866597375,17.84011,-67.33679
2329,7.4035273388050715,17.867073,-67.3371
2330,7.281229192008515,17.894058,-67.33746
2331,7.132691322,17.92102,-67.33777
2332,7.040818418060849,17.947983,-67.338104
2333,6.987481932930135,17.974945,-67.33844
2334,6.915784396845946,18.001907,-67.338776
2335,6.782698420917326,18.028877,-67.33911
2336,6.6612134911778895,18.055855,-67.33945
2337,6.522987690011812,18.082817,-67.33978
2338,6.400788028149968,18.10978,-67.34012
2339,6.320336563105577,18.136765,-67.340454
2340,6.272243993099741,18.16372,-67.34079
2341,6.258580020764695,18.190666,-67.341125
2342,6.266619820504359,18.217636,-67.34146
2343,6.267180461231908,18.244606,-67.3418
2344,6.2347458415726695,18.271576,-67.34213
2345,6.299389661139274,18.298538,-67.34247
2346,6.490896317674381,18.325485,-67.342804
2347,6.765076413697891,18.35247,-67.34314
2348,6.938805109864019,18.379425,-67.343475
2349,7.030552375765181,18.406372,-67.34381
2350,7.107642215921826,18.433334,-67.34415
2351,7.252803361315881,18.460304,-67.34448
2352,7.375711287958133,18.487251,-67.34482
2353,7.479016651,18.514221,-67.34515
2354,7.510098084975472,18.541168,-67.34549
2355,7.525397288253934,18.568123,-67.345825
2356,7.564782733875267,18.595085,-67.34616
2357,7.590907894022725,18.622032,-67.3465
2358,7.623993513242186,18.648987,-67.34686
2359,7.662759738,18.675957,-67.34717
2360,7.690278008115593,18.702911,-67.347534
2361,7.732598784,18.729858,-67.34784
2362,7.757703015341295,18.756828,-67.348206
2363,7.792721843485111,18.78376,-67.34854
2364,7.8099050858996835,18.810715,-67.34888
2365,7.830014092871197,18.837662,-67.34921
2366,7.836714430866392,18.864616,-67.34955
2367,7.846065851997901,18.891563,-67.349884
2368,7.8468227985346575,18.918526,-67.35022
2369,7.847658472752444,18.945473,-67.350555
2370,7.842894850238811,18.972412,-67.35089
2371,7.838131808,18.999367,-67.35123
2372,7.830975448238701,19.026306,-67.35156
2373,7.823987071488936,19.053253,-67.3519
2374,7.815617222211816,19.0802,-67.352234
2375,7.8059993104029415,19.107147,-67.3526
2376,7.795595282843524,19.134094,-67.352905
2377,7.784161992630326,19.161049,-67.35327
2378,7.7728032024550515,19.187973,-67.35361
2379,7.760207459247707,19.214928,-67.35394
2380,7.748154813117556,19.241867,-67.35428
2381,7.734680020556732,19.268799,-67.354614
2382,7.722615095927276,19.295738,-67.35495
2383,7.7084991428089324,19.322693,-67.355286
2384,7.69668889,19.34961,-67.35565
2385,7.682085944842591,19.376556,-67.35596
2386,7.669782581993199,19.403488,-67.35632
2387,7.6523537015333485,19.430435,-67.35666
2388,7.639399148709022,19.457375,-67.356995
2389,7.617535142402964,19.484299,-67.35733
2390,7.597545360558523,19.511223,-67.357666
2391,7.573504578127183,19.538177,-67.35803
2392,7.5547298340407965,19.56511,-67.35834
2393,7.542642710243705,19.592033,-67.3587
2394,8.542409927881017,16.545563,-67.292694
2395,8.559652185545378,16.57254,-67.29303
2396,8.579052437716232,16.59951,-67.293335
2397,8.596150416268957,16.626495,-67.29367
2398,8.603129395691901,16.653488,-67.29401
2399,8.620728592732387,16.68045,-67.29431
2400,8.620117087250208,16.707436,-67.29465
2401,8.62602532,16.734413,-67.29498
2402,8.618177668197035,16.761398,-67.29529
2403,8.618179476460904,16.788391,-67.29562
2404,8.608016747,16.815361,-67.29596
2405,8.603315475976975,16.84233,-67.296295
2406,8.591840172329684,16.869331,-67.29663
2407,8.583931919934294,16.896301,-67.296936
2408,8.571106427,16.923271,-67.29727
2409,8.561124240524435,16.950256,-67.29761
2410,8.548256053191322,16.977242,-67.29791
2411,8.537600022625671,17.004211,-67.29825
2412,8.525428192201343,17.031204,-67.298584
2413,8.514347801510716,17.058174,-67.29889
2414,8.501777915416435,17.08516,-67.299225
2415,8.488945377232126,17.11213,-67.29956
2416,8.474501485096862,17.139107,-67.2999
2417,8.460645364600222,17.166084,-67.30023
2418,8.447065609482953,17.19307,-67.30054
2419,8.433229889,17.22004,-67.30087
2420,8.420372648640916,17.247025,-67.30121
2421,8.407190583998178,17.27398,-67.30151
2422,8.393331023911752,17.300964,-67.30185
2423,8.377640566,17.32795,-67.302185
2424,8.362275041,17.35492,-67.30252
2425,8.345384892480345,17.38189,-67.30286
2426,8.328824706125566,17.408882,-67.30316
2427,8.309888923223827,17.435852,-67.3035
2428,8.29060277,17.462822,-67.30383
2429,8.269096540825558,17.489792,-67.30417
2430,8.246992658884194,17.51677,-67.304504
2431,8.222758411204207,17.543747,-67.30481
2432,8.196022872584809,17.570717,-67.305145
2433,8.167282872930544,17.597687,-67.30548
2434,8.132433762845038,17.624664,-67.30582
2435,8.095585698234004,17.651642,-67.30615
2436,8.046239206,17.678612,-67.30646
2437,7.994650818931353,17.705566,-67.30679
2438,7.9258893310845195,17.732552,-67.30713
2439,7.855198022933401,17.759521,-67.307465
2440,7.765435053290632,17.786484,-67.3078
2441,7.673340295309099,17.813461,-67.308105
2442,7.565809703339278,17.840416,-67.30844
2443,7.432390380184787,17.867401,-67.30878
2444,7.308413716629332,17.894363,-67.30911
2445,7.148199678665421,17.921333,-67.30945
2446,7.080454875289513,17.948318,-67.30975
2447,7.055470773773479,17.975273,-67.31009
2448,6.971275587670796,18.002228,-67.310425
2449,6.802782835671534,18.029213,-67.31076
2450,6.655780283864996,18.056175,-67.3111
2451,6.480010153475375,18.08313,-67.31143
2452,6.328243149385328,18.110107,-67.31177
2453,6.243809807695686,18.137062,-67.31207
2454,6.206096666560098,18.164032,-67.31241
2455,6.2164499953864665,18.19101,-67.312744
2456,6.256271539279054,18.217957,-67.31308
2457,6.280096950674613,18.244926,-67.313416
2458,6.245513181643543,18.271896,-67.31375
2459,6.301676411891494,18.298851,-67.31409
2460,6.472389528997795,18.325806,-67.31439
2461,6.756331499207738,18.352776,-67.31473
2462,6.939321485645316,18.379738,-67.31506
2463,7.031854034720126,18.4067,-67.3154
2464,7.092511461686212,18.433655,-67.315735
2465,7.242605188215809,18.460617,-67.31607
2466,7.3899152185428205,18.487564,-67.31641
2467,7.512082089178811,18.514542,-67.31674
2468,7.537649800280263,18.541496,-67.31708
2469,7.5344218087603165,18.568428,-67.31738
2470,7.572247414976151,18.595398,-67.31772
2471,7.598123430092353,18.62236,-67.318054
2472,7.632167319082612,18.649307,-67.31839
2473,7.675358813723665,18.67627,-67.318726
2474,7.7050136762902826,18.703232,-67.31906
2475,7.7509925851329795,18.730171,-67.3194
2476,7.779012626072372,18.757133,-67.31973
2477,7.815298531121849,18.784065,-67.32007
2478,7.832559685638993,18.811043,-67.320404
2479,7.852960350115048,18.837982,-67.32074
2480,7.859238629778261,18.86493,-67.321045
2481,7.867221342743333,18.891891,-67.32141
2482,7.8666638767507475,18.918846,-67.32172
2483,7.866373939008514,18.945793,-67.32208
2484,7.8606691693099675,18.97274,-67.32239
2485,7.8549423009794666,18.999672,-67.32272
2486,7.847271242077717,19.026619,-67.32306
2487,7.8394391677011175,19.053581,-67.323395
2488,7.829634977486012,19.08052,-67.32373
2489,7.818906959363611,19.107452,-67.324066
2490,7.8077120143723375,19.13443,-67.3244
2491,7.7952734705743225,19.161362,-67.32474
2492,7.783534482267439,19.188286,-67.32507
2493,7.770645002575731,19.215233,-67.32541
2494,7.757939623230466,19.242165,-67.325745
2495,7.743870126568817,19.26912,-67.32608
2496,7.731253122309829,19.296066,-67.326416
2497,7.716641726,19.323006,-67.32675
2498,7.704543954632108,19.349937,-67.32709
2499,7.6896225383714185,19.376877,-67.32742
2500,7.677221415844781,19.403809,-67.32776
2501,7.659700043367008,19.43074,-67.328094
2502,7.646565966,19.457695,-67.32843
2503,7.624483471491834,19.484627,-67.328766
2504,7.603685879720571,19.51155,-67.3291
2505,7.5796426096690706,19.538498,-67.32944
2506,7.560716613981588,19.56543,-67.32977
2507,7.548378057226776,19.592361,-67.33011
2508,8.546700568839864,16.545868,-67.26456
2509,8.564316655,16.572845,-67.26486
2510,8.584175434865973,16.599815,-67.2652
2511,8.601689552546219,16.626808,-67.2655
2512,8.608185295532584,16.653786,-67.26584
2513,8.625878631,16.680756,-67.266174
2514,8.625553540736124,16.707756,-67.26648
2515,8.631850719,16.734734,-67.266815
2516,8.624040301612068,16.761726,-67.26712
2517,8.623930801228418,16.788681,-67.267456
2518,8.613871154109049,16.815666,-67.26776
2519,8.609480080363468,16.842651,-67.2681
2520,8.598332502224865,16.869637,-67.26843
2521,8.591025095974077,16.896606,-67.26874
2522,8.578632943367827,16.923607,-67.26907
2523,8.569027420119822,16.950577,-67.26941
2524,8.556625842869627,16.977547,-67.269714
2525,8.546165847241422,17.004524,-67.27002
2526,8.534564608805098,17.03151,-67.270355
2527,8.523921866682654,17.05848,-67.27069
2528,8.511433299297252,17.085464,-67.270996
2529,8.498654615815028,17.112442,-67.27133
2530,8.484693223357505,17.13942,-67.27167
2531,8.47134586,17.166405,-67.27197
2532,8.458036227865511,17.193375,-67.27231
2533,8.444721859742879,17.220337,-67.272644
2534,8.432658523,17.24733,-67.27295
2535,8.420246733618484,17.274307,-67.273285
2536,8.407549805309632,17.301277,-67.27362
2537,8.393079665641016,17.328262,-67.273926
2538,8.378834516758317,17.355247,-67.27426
2539,8.363265822731332,17.382195,-67.27457
2540,8.348066141518675,17.409187,-67.2749
2541,8.330455693207224,17.43615,-67.27524
2542,8.312500612115898,17.463127,-67.27554
2543,8.292719407744226,17.490105,-67.27588
